subnet,count,variance,range,min_diff,max_diff,variance_diff,95th_diff,5th_diff,mean_diff,variance_diff_p,max_diff_p,min_diff_p,95th_diff_p,5th_diff_p,mean_diff_p,count_type_1_or_3,variance_type_1_or_3,range_type_1_or_3,min_diff_type_1_or_3,max_diff_type_1_or_3,variance_diff_type_1_or_3,95th_diff_type_1_or_3,5th_diff_type_1_or_3,mean_diff_type_1_or_3,variance_diff_p_type_1_or_3,max_diff_p_type_1_or_3,min_diff_p_type_1_or_3,95th_diff_p_type_1_or_3,5th_diff_p_type_1_or_3,mean_diff_p_type_1_or_3,iid_macderived_ratio,iid_really_macderived_ratio,iid_lowbyte_ratio,iid_embeddedipv4_32_ratio,iid_embeddedipv4_64_ratio,iid_pattern_bytes_ratio,iid_random_ratio,iid_really_macderived_over_total_ratio
2800:98:1052::/48,4790,160736346.2166098,487558.0,1.0,487558.0,160736346.2166098,3548.55,229.0,1922.6275574112735,2072330801.5189018,455057.96000000054,5.0,453.2469999999939,8.0,4924.424242424242,4789,160769203.05728653,487558.0,1.0,487558.0,160769203.05728653,3548.5999999999995,229.0,1923.0116934641887,2072184864.8477046,455041.3200000002,5.0,453.3519999999951,8.0,4924.424242424242,0.051994153267905616,0.00020881186051367718,0.00020876826722338206,0.0031321779077051574,0.00041762372102735435,0.8028816036750888,0.14136562956775944,0.004
2a02:2378:1035::/48,6281,22697496.763763472,315374.0,9.0,315374.0,22697496.763763472,2403.0,273.0,1227.6217162872153,962542485.252746,310312.4000000001,10.0,380.1999999999999,13.419999999999996,3184.909090909091,68,618940.2238321799,3527.0,33.0,3527.0,618940.2238321799,2025.6499999999996,146.34999999999997,783.8382352941177,9352.43530758082,822.760000000002,0.9699999999999704,63.11400000000023,3.3320000000000136,35.402929292929294,0.27941176470588236,0.0,0.9912434325744308,0.0,0.0,0.0,0.5294117647058824,0.0
2a02:d247:1103::/48,15386,154244464.53023452,1020369.0,2.0,1020369.0,154244464.53023452,3620.5,232.0,1715.7421682048616,10056367196.090473,1002993.5000000001,7.0,457.71499999999963,9.0,10306.232323232323,15385,154254347.6452579,1020369.0,2.0,1020369.0,154254347.6452579,3620.5999999999985,232.0,1715.838414039649,10056320989.48492,1002991.2000000001,7.0,457.856,9.0,10306.232323232323,0.14130646733831653,0.0002599935001624959,6.499415052645263e-05,0.0,0.0005849853753656159,0.005784855378615535,0.8520636984075398,0.0018365472910927456
2405:8d40:4490::/48,3220,24909253.87302758,168521.0,0.0,168521.0,24909253.87302758,3597.0999999999995,194.0,1340.0493788819876,249914981.11746478,158124.08000000002,5.0,348.4730000000013,7.151000000000022,1701.9071717171719,3220,24909253.87302758,168521.0,0.0,168521.0,24909253.87302758,3597.0999999999995,194.0,1340.0493788819876,249914981.11746478,158124.08000000002,5.0,348.4730000000013,7.151000000000022,1701.9071717171719,0.21770186335403727,0.0,0.0,0.0,0.0,0.0,0.7822981366459627,0.0
2a02:b123:12::/48,20543,68874395.61812691,609042.0,2.0,609042.0,68874395.61812691,3698.899999999998,209.0,1207.3977997371367,3606310977.605963,600625.4000000001,7.0,260.31000000000336,8.532000000000153,6151.454545454545,20536,68897678.84905109,609042.0,2.0,609042.0,68897678.84905109,3699.0,209.0,1207.603476821192,3606251951.1382346,600620.4999999999,7.0,259.4750000000049,8.7,6151.454545454545,0.15601869887027658,0.0018991040124659135,0.0003407486735140924,0.0,0.00024347487339306583,0.0,0.8418387222438645,0.012025901942645698
2a02:4540:26::/48,10164,116142547.2363253,571831.0,4.0,571831.0,116142547.2363253,3439.8500000000004,147.0,1455.1392168437624,3113523127.0560064,558096.6599999999,5.0,286.3109999999981,7.0,5775.737373737374,10159,116199328.14979185,571831.0,4.0,571831.0,116199328.14979185,3440.0,147.0,1455.498671129048,3113473471.606906,558092.5599999999,5.0,285.8980000000007,6.826000000000022,5775.737373737374,0.19795255438527415,0.0001968697706467172,0.0004919323101141283,0.0,0.0001968697706467172,0.42740427207402304,0.3742494339994094,0.0009935419771485345
2001:d08:2072::/48,5982,214862626.32347074,544764.0,6.0,544764.0,214862626.32347074,3481.0,207.0,2043.1018054162487,2753141390.2867894,524788.3000000002,7.0,464.8129999999641,9.0,5502.282828282829,5979,214969545.61718917,544764.0,6.0,544764.0,214969545.61718917,3481.199999999999,207.0,2043.7170095333668,2753039351.068435,524778.3999999999,7.0,388.9939999999803,9.0,5502.282828282829,0.15203211239337683,0.00016725204883759825,0.0005015045135406219,0.0,0.0,0.6208396052851648,0.22696103027262085,0.001098901098901099
2405:8d40:4cce::/48,4395,180739019.71325898,800936.0,2.0,800936.0,180739019.71325898,3536.5000000000027,184.0,1654.7149032992036,6171421964.004255,785727.0799999998,5.5,592.9519999999952,7.951999999999975,8089.878787878788,4394,180779767.1352872,800936.0,2.0,800936.0,180779767.1352872,3537.249999999992,184.0,1655.0111515703231,6171377592.584149,785724.2600000001,5.75,590.5940000000043,8.0,8089.878787878788,0.21529358215748748,0.0,0.0004550625711035267,0.0,0.0002275830678197542,0.0,0.784251251706873,0.0
2a02:b025:14::/48,18727,116305153.72841763,836199.0,2.0,836199.0,116305153.72841763,3532.0,198.0,1089.2585571634538,6899319641.176463,830716.86,6.0,239.33399999999799,8.0,8445.979797979799,18715,116379271.31634994,836199.0,2.0,836199.0,116379271.31634994,3532.2999999999993,198.0,1089.7948704247929,6899297497.688498,830715.54,5.0,239.66999999999985,8.0,8445.979797979799,0.14036868821800694,0.0009083622762489981,0.0006407860308645271,0.0,0.0,0.0,0.858722949505744,0.006429652042360061
2001:14bb:c6::/48,8009,123007163.26630357,538819.0,5.0,538819.0,123007163.26630357,3705.399999999998,259.0,1566.7554001748033,2822932201.0491543,531405.16,9.0,187.42799999999826,11.0,5441.857777777778,7816,126007628.02618815,538814.0,5.0,538814.0,126007628.02618815,3712.25,262.0,1587.1592886386898,2821380275.1438456,531259.95,9.0,186.14999999999938,11.0,5441.828282828283,0.13203684749232344,0.0030706243602865915,0.051816706205518794,0.543756397134084,0.0,0.0,0.29273285568065505,0.022727272727272728
